Oin	 Midblock Route	 Side 1 Route	 Side 2 Route	 Activation Date	 Latitude	 Longitude	 Count Date	 8HrVehVol	 8HrPedVol
 1493	 MCCOWAN RD		 MCNICOLL AVE		 11-Jul-1985	 43.818	 -79.271988	 5/4/15	 23517	 612
 1507	 MCCOWAN RD		 COMMANDER BLVD	 PRIVATE ACCESS	 21-Jan-1987	 43.796	 -79.26149	 4/30/15	 19373	 154
 1539	 MCCOWAN RD		 ALTON TOWERS CRCL		 29-Oct-1987	 43.827	 -79.27589	 5/4/15	 13492	 1060
 1549	 DUNDAS ST W		 ANNETTE ST	 DUPONT ST	 20-Dec-1948	 43.664	 -79.45868	 8/17/15	 13673	 847
 1564	 STEELES AVE W		 CARPENTER RD	 PRIVATE ACCESS	 24-Nov-1988	 43.792	 -79.44764	 5/13/15	 19528	 3356
 1565	 MIDLAND AVE		 COPTHORNE AVE	 PASSMORE AVE	 11-Oct-1988	 43.821	 -79.29491	 5/23/15	 13379	 367
 1570	 FINCH AVE W		 KIPLING AVE		 11-Feb-1989	 43.743	 -79.5821	 5/15/15	 22468	 5000
 1572	 MCCOWAN RD		 ALTON TOWERS CRCL		 26-Apr-1989	 43.823	 -79.27397	 5/4/15	 14230	 726
 1579	 SPADINA AVE		 BREMNER BLVD		 28-May-1989	 43.641	 -79.39294	 7/8/15	 22600	 8056
 1594	 BATHURST ST		 ULSTER ST		 12-Jul-1989	 43.66	 -79.40904	 4/2/15	 10369	 1931
 1611	 STEELES AVE W		 IRONDALE DR	 PEARCE RD	 11-Jul-1990	 43.77	 -79.5496	 5/13/15	 17754	 194
 1621	 BATHURST ST		 TICHESTER RD		 31-Jan-1991	 43.685	 -79.41922	 4/1/15	 17156	 1127
 1629	 CASTLEFIELD AVE		 RONALD AVE		 07-Jul-1992	 43.699	 -79.45942	 7/27/15	 10128	 172
 1649	 WARDEN AVE	 200m SOUTH OF	 BAMBURGH CRCL		 22-Oct-1992	 43.814	 -79.3245332	 5/5/15	 9826	 965
 1657	 WARDEN AVE		 SHERWOOD AVE	 PRIVATE ACCESS	 02-Nov-1993	 43.742	 -79.29346	 5/6/15	 16276	 149
 1659	 KIPLING AVE		 ANNABELLE DR	 ROWNTREE RD	 15-Jun-1993	 43.751	 -79.58574	 5/15/15	 10272	 1568
 1664	 DANFORTH AVE		 BYNG AVE		 04-Nov-1993	 43.693	 -79.280102	 5/6/15	 11703	 826
 1672	 STEELES AVE W		 SHALE GT	 CAPSTAN GT	 30-Dec-1993	 43.783	 -79.4873	 5/13/15	 25173	 336
 1682	 WELLINGTON ST W		 BLUE JAYS WAY		 29-Sep-1994	 43.645	 -79.3917762	 6/22/15	 6090	 7101
 1692	 WARDEN AVE		 CANADIAN RD	 PRIVATE ACCESS	 10-Dec-1995	 43.758	 -79.30002	 5/5/15	 22133	 313
 1711	 MCCOWAN RD	 210m SOUTH OF	 ALTON TOWERS CRCL		 29-Nov-1995	 43.825	 -79.27514	 5/4/15	 11373	 850
 1716	 KING ST W		 TECUMSETH ST		 30-Aug-1995	 43.643	 -79.40524	 9/30/15	 9966	 4831
 1735	 STEELES AVE W		 MURRAY ROSS PKWY	 PRIVATE ACCESS	 05-Mar-2000	 43.776	 -79.51704	 5/13/15	 22814	 181
 1745	 QUEEN ST W		 SORAUREN AVE		 01-Oct-1996	 43.64	 -79.44095	 6/9/15	 7495	 1527
 1746	 KING ST E		 SUMACH ST		 24-Oct-1996	 43.656	 -79.3584	 8/17/15	 6068	 1153
 1764	 STEELES AVE W		 GERRY FITZGERALD DR	 FUTURITY GATE	 28-Jul-2004	 43.786	 -79.47471	 5/13/15	 24942	 646
 1765	 ROYAL YORK RD		 EDENBRIDGE DR		 30-Oct-1997	 43.67	 -79.52136	 6/4/15	 12434	 86
 1793	 STEELES AVE W		 HIGHWAY 27		 30-Jun-1998	 43.755	 -79.61409	 5/15/15	 33940	 70
 1794	 MCCOWAN RD		 KENHATCH BLVD		 16-Jul-1998	 43.801	 -79.26377	 4/30/15	 14927	 177
 1808	 BATHURST ST		 ROBINSON ST	 CARR ST	 29-Oct-1998	 43.649	 -79.40465	 4/2/15	 9841	 2137
 1811	 LAKE SHORE BLVD E		 NORTHERN DANCER BLVD	 PRIVATE ACCESS	 18-Aug-1998	 43.663	 -79.30969	 5/20/15	 13170	 390
 1818	 ROYAL YORK RD		 NEWCASTLE ST		 07-Aug-1999	 43.618	 -79.49893	 1/6/15	 8244	 505
 1850	 DANFORTH AVE		 THYRA AVE	 PRIVATE ACCESS	 14-Jun-2000	 43.691	 -79.29025	 5/7/15	 12898	 3440
 1851	 KING ST W		 SUDBURY ST	 PRIVATE ACCESS	 02-Jul-2000	 43.641	 -79.41727	 8/24/15	 10301	 1835
 1852	 DUNDAS ST W	 275m EAST OF	 ROYAL YORK RD	 PRIVATE ACCESS	 20-Jan-2000	 43.659	 -79.5135782	 4/18/15	 16092	 318
 1855	 KIPLING AVE		 LONGFIELD RD	 THE KINGSWAY	 07-Jun-2000	 43.674	 -79.5493	 9/15/15	 11307	 313
 1878	 DUNDAS ST W		 MANNING AVE		 14-Nov-2000	 43.651	 -79.41091	 4/8/15	 8875	 2028
 1879	 THE QUEENSWAY		 GLENDALE AVE		 31-Aug-2001	 43.639	 -79.45129	 3/4/15	 13888	 555
 1883	 BATHURST ST		 ADELAIDE ST W		 09-Nov-2001	 43.645	 -79.40321	 8/18/15	 12296	 1573
 1889	 DANFORTH AVE	 200m EAST OF	 MAIN ST	 PRIVATE ACCESS	 02-Jun-2001	 43.689	 -79.2995283	 5/7/15	 12920	 3473
 1905	 DUNDAS ST E		 VICTORIA ST		 19-Sep-2002	 43.656	 -79.37955	 4/13/15	 8889	 10912
 1915	 STEELES AVE W	 185m WEST OF	 HIDDEN TRL	 PRIVATE ACCESS	 17-Jun-2003	 43.788	 -79.46537	 5/13/15	 24345	 392
 1919	 BATHURST ST		 FORT YORK BLVD		 13-Aug-2002	 43.639	 -79.40062	 4/12/15	 11653	 5808
 1941	 COMSTOCK RD		 LEBOVIC AVE		 19-Oct-2005	 43.721	 -79.28872	 6/15/15	 6961	 101
 1951	 LAKE SHORE BLVD E	 224m WEST OF	 WOODBINE AVE		 23-Dec-2002	 43.664	 -79.30624	 5/20/15	 11567	 270
 1969	 QUEEN ST W		 PALMERSTON AVE	 TECUMSETH ST	 30-Oct-2003	 43.647	 -79.40654	 9/2/15	 10538	 6170
 1980	 STEELES AVE W		 SIGNAL HILL AVE	 PRIVATE ACCESS	 08-Oct-2003	 43.753	 -79.62511	 5/15/15	 16258	 305
 1984	 KING ST W		 SPENCER AVE		 06-Jun-2003	 43.638	 -79.4309	 10/7/15	 9259	 2198
 1987	 DUNDAS ST E		 ONTARIO ST		 09-Nov-2004	 43.659	 -79.36857	 4/13/15	 6416	 2459
 2006	 MCCOWAN RD	 180m NORTH OF	 LAWRENCE AVE E	 PRIVATE ACCESS	 19-Jul-2005	 43.757	 -79.24562	 5/4/15	 15900	 156
 2021	 MCCOWAN RD	 120m NORTH OF	 ELLESMERE RD	 PRIVATE ACCESS	 10-Dec-2004	 43.773	 -79.2517515	 4/29/15	 20670	 712
 2033	 STEELES AVE E		 REDLEA AVE	 PRIVATE ACCESS	 25-Aug-2005	 43.824	 -79.3050402	 5/30/15	 18557	 1232
 2038	 STEELES AVE W	 200m EAST OF	 ALNESS ST	 PRIVATE ACCESS	 16-Mar-2005	 43.785	 -79.47835	 5/13/15	 22949	 278
 2040	 GARDINER E PARK LAWN RD RAMP		 LEGION RD N		 22-Dec-2006	 43.625	 -79.48925	 1/20/15	 7957	 0
 2049	 PASSMORE AVE		 SILVER STAR BLVD		 25-Apr-2006	 43.82	 -79.2981	 5/23/15	 8111	 91
 2056	 QUEEN ST E		 ELMER AVE		 18-Aug-2005	 43.669	 -79.3035	 6/8/15	 9545	 1951
 2069	 ASHTONBEE RD		 HAKIMI AVE	 PRIVATE ACCESS	 26-Oct-2010	 43.73	 -79.29195	 6/15/15	 7898	 472
 2097	 DUPONT ST		 EDWIN AVE		 11-Apr-2007	 43.665	 -79.45549	 4/22/15	 9816	 856
 2119	 KIPLING AVE		 PENLEA AVE		 26-Sep-2007	 43.741	 -79.58096	 5/15/15	 12364	 538
 2120	 KIPLING AVE		 HENLEY CRES		 02-Aug-2007	 43.731	 -79.57583	 5/15/15	 11881	 363
 2123	 ROYAL YORK RD	 16m SOUTH OF	 GOVERNMENT RD		 14-Jun-2007	 43.658	 -79.5159651	 6/4/15	 12271	 141
 2133	 BATHURST ST		 CARIBOU RD	 DELL PARK AVE	 04-Oct-2007	 43.718	 -79.4296114	 3/31/15	 20431	 1592
 2137	 KIPLING AVE		 HINTON RD	 PRIVATE ACCESS	 05-Dec-2007	 43.726	 -79.5734	 5/15/15	 11809	 438
 2139	 KIPLING AVE		 SNARESBROOK DR	 PRIVATE ACCESS	 06-Dec-2007	 43.722	 -79.57148	 5/15/15	 12809	 640
 2163	 BAMBURGH CRCL		 WINTERMUTE BLVD		 20-May-2010	 43.816	 -79.322537	 6/1/15	 3793	 667
 2179	 MORTIMER AVE		 WOODMOUNT AVE		 18-Sep-2008	 43.692	 -79.31817	 6/22/15	 5772	 191
 2189	 ROYAL YORK RD		 ALLANHURST DR		 19-Aug-2008	 43.679	 -79.52527	 6/4/15	 11434	 155
 2200	 PHARMACY AVE	 20m SOUTH OF	 ALBION AVE		 17-Sep-2009	 43.696	 -79.28478	 6/8/15	 4328	 659
 2201	 SANDHURST CRCL	 235m NORTH OF	 FINCH AVE E		 23-Jan-2009	 43.809	 -79.2714004	 6/2/15	 2481	 1772
 2253	 BATHURST ST		 NASSAU ST	 PRIVATE ACCESS	 25-Jan-2011	 43.654	 -79.406841	 4/2/15	 10334	 2241
 2258	 WARDEN AVE		 LUPIN DR		 20-Nov-2010	 43.766	 -79.3022333	 5/5/15	 26701	 93
 2275	 BATHURST ST	 70m SOUTH OF	 KENTON DR	 PRIVATE ACCESS	 16-Dec-2011	 43.777	 -79.44395	 3/23/15	 21210	 81
 2311	 GUNNS RD	 150m NORTH OF	 ST CLAIR AVE W	 PRIVATE ACCESS	 07-Feb-2014	 43.673	 -79.472209	 4/22/15	 4240	 176
 2312	 STEELES AVE W		 ALBION RD	 REGIONAL RD 50	 01-Aug-2012	 43.75	 -79.63929	 5/15/15	 29577	 19
 2316	 FRONT ST W		 PORTLAND ST		 20-Mar-2012	 43.641	 -79.39882	 6/15/15	 5875	 1283
 2332	 STEELES AVE W		 GIHON SPRING DR	 PRIVATE ACCESS	 25-Feb-2013	 43.759	 -79.597022	 5/15/15	 18164	 101aklan 
